Volumen,Volumen_titulo,Parte,Parte_titulo,Seccion,Seccion_titulo,Tipo,N_capitulo,Titulo,Autores,N_autores,Pagina,Region,Tema,Periodo,Macro_region,Eje_Brasil,Escala_geografica,Macro_tema,Enfoque_disciplinar,Eje_alteridad,Tipo_alteridad,Formato_texto,Siglo_foco,Periodo_ordinal,N_autores_grupo,Ambito_ling_prob
1,Configurations of Literary Culture,,,,,Front matter,,Introduction: Beyond Literary History,Mario J. Valdés,1,xvii,Pan-latinoamericana,Historiografia/Teoria,N/A,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Historiografia, teoria y estetica",Teoria e historiografia,No,Ninguno,Panoramico / sintesis,N/A,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,,,,,Front matter,,Series Overview: Rethinking Literary History—Comparatively,Mario J. Valdés; Linda Hutcheon,2,xxvii,Pan-latinoamericana,Historiografia/Teoria,N/A,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Historiografia, teoria y estetica",Teoria e historiografia,No,Ninguno,Panoramico / sintesis,N/A,,Coautoria (2-3),Espanol (prob.)
1,Configurations of Literary Culture,,,,,Front matter,,Coeditor's Introduction: History after History,Djelal Kadir,1,xxxi,Pan-latinoamericana,Historiografia/Teoria,N/A,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Historiografia, teoria y estetica",Teoria e historiografia,No,Ninguno,Panoramico / sintesis,N/A,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,,,,,Front matter,,Introduction to Volume I: For a More Inclusive Literary History of Latin America,Luisa Campuzano,1,xxxvii,Pan-latinoamericana,Historiografia/Teoria,N/A,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Historiografia, teoria y estetica",Teoria e historiografia,No,Ninguno,Panoramico / sintesis,N/A,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,,,Introduccion,,Introduction: Parameters of Literary Culture,Mario J. Valdés,1,1,Pan-latinoamericana,Historiografia/Teoria,N/A,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Historiografia, teoria y estetica",Teoria e historiografia,No,Ninguno,Panoramico / sintesis,N/A,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,1,Geographic Factors and the Formation of Cultural Terrain for Literary Production,Capitulo,1,The Formation of a Cultural Territory,Hervé Théry,1,3,Pan-latinoamericana,Geografia/Territorio,Multiple,Pan-latinoamericano,Transversal,Pan-latinoamericano,Geografia y territorio,Geografia cultural,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,1,Geographic Factors and the Formation of Cultural Terrain for Literary Production,Capitulo,2,"From the New Spain of Cortés to the Mexican, Central American, and Caribbean Mosaic",Alain Musset,1,18,Mexico/Centroamerica/Caribe,Geografia/Territorio,Multiple,Multirregional (2+ areas),Transversal,Multirregional,Geografia y territorio,Geografia cultural,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,1,Geographic Factors and the Formation of Cultural Terrain for Literary Production,Capitulo,3,The Andean Countries,Jean-Paul Deler,1,28,Andes,Geografia/Territorio,Multiple,Andes,Hispanoamerica,Subregional,Geografia y territorio,Geografia cultural,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,1,Geographic Factors and the Formation of Cultural Terrain for Literary Production,Capitulo,4,"Brazil: A Continent, An Archipelago",Hervé Théry,1,37,Brasil,Geografia/Territorio,Multiple,Brasil,Brasil,Nacional,Geografia y territorio,Geografia cultural,No,Ninguno,Caso de estudio,Transversal,,Individual,Portugues (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,1,Geographic Factors and the Formation of Cultural Terrain for Literary Production,Capitulo,5,The Southern Cone,Sébastian Velut,1,48,Cono Sur,Geografia/Territorio,Multiple,Cono Sur,Hispanoamerica,Subregional,Geografia y territorio,Geografia cultural,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,1,Geographic Factors and the Formation of Cultural Terrain for Literary Production,Capitulo,6,The Amazon: The Forgotten Heart,Emmanuel Lézy,1,56,Amazonia,Geografia/Territorio,Multiple,Amazonia,Transversal,Subregional,Geografia y territorio,Geografia cultural,No,Ninguno,Caso de estudio,Transversal,,Individual,Portugues (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,2,Demographics and the Formation of Cultural Centers,Capitulo,7,"Demography, Language, and Cultural Centers",Nicolás Sánchez Albornoz,1,61,Pan-latinoamericana,Demografia/Lengua,Multiple,Pan-latinoamericano,Transversal,Pan-latinoamericano,Lenguas y linguistica,Linguistica,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,3,Linguistic Diversity of Latin American Literary Cultures,Capitulo,8,Linguistic Diversity in Mexico,Beatriz Garza Cuarón,1,69,Mexico,Lenguas/Linguistica,Multiple,Mexico,Hispanoamerica,Nacional,Lenguas y linguistica,Linguistica,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,3,Linguistic Diversity of Latin American Literary Cultures,Documento,9,Document: Tzotzil Text,Juan González Hernández,1,82,Mexico,Lenguas indigenas,Contemporaneo,Mexico,Hispanoamerica,Nacional,Lenguas y linguistica,Linguistica,No,Ninguno,Documento primario,Siglo XX,4,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,3,Linguistic Diversity of Latin American Literary Cultures,Documento,10,Document: Zapotec Text,Santiago Fabián,1,83,Mexico,Lenguas indigenas,Contemporaneo,Mexico,Hispanoamerica,Nacional,Lenguas y linguistica,Linguistica,No,Ninguno,Documento primario,Siglo XX,4,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,3,Linguistic Diversity of Latin American Literary Cultures,Capitulo,11,Linguistic Diversity in Venezuela,Marie-Claude Mattéi Muller,1,85,Andes,Lenguas/Linguistica,Multiple,Andes,Hispanoamerica,Subregional,Lenguas y linguistica,Linguistica,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,3,Linguistic Diversity of Latin American Literary Cultures,Capitulo,12,Linguistic Diversity in Colombia,Jon Landaburu,1,90,Andes,Lenguas/Linguistica,Multiple,Andes,Hispanoamerica,Subregional,Lenguas y linguistica,Linguistica,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,3,Linguistic Diversity of Latin American Literary Cultures,Capitulo,13,"Linguistic Diversity in the Andean Countries (Argentina, Bolivia, Chile, Ecuador, Peru) and Paraguay",Willem F. H. Adelaar,1,96,Andes/Cono Sur,Lenguas/Linguistica,Multiple,Multirregional (2+ areas),Transversal,Multirregional,Lenguas y linguistica,Linguistica,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,3,Linguistic Diversity of Latin American Literary Cultures,Capitulo,14,The Portuguese Language in Brazil,Marianne Akerberg,1,104,Brasil,Lenguas/Linguistica,Multiple,Brasil,Brasil,Nacional,Lenguas y linguistica,Linguistica,No,Ninguno,Caso de estudio,Transversal,,Individual,Portugues (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,4,History of the Production of Literary Cultures in Colonial Latin America,Capitulo,15,The Production of Literary Culture in New Spain,José Joaquín Blanco,1,109,Mexico,Cultura letrada colonial,Colonial,Mexico,Hispanoamerica,Nacional,"Colonial, barroco e Ilustracion",Critica e historia literaria,No,Ninguno,Caso de estudio,Colonial,2,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,4,History of the Production of Literary Cultures in Colonial Latin America,Capitulo,16,The Context of Literary Culture in the Caribbean,Jorge Luis Camacho,1,120,Caribe,Cultura letrada colonial,Colonial,Caribe,Hispanoamerica,Subregional,"Colonial, barroco e Ilustracion",Critica e historia literaria,No,Ninguno,Caso de estudio,Colonial,2,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,4,History of the Production of Literary Cultures in Colonial Latin America,Capitulo,17,The Foundations of Brazilian Literary Culture,Tânia Franco Carvalhal,1,126,Brasil,Cultura letrada colonial,Colonial,Brasil,Brasil,Nacional,"Colonial, barroco e Ilustracion",Critica e historia literaria,No,Ninguno,Caso de estudio,Colonial,2,Individual,Portugues (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,4,History of the Production of Literary Cultures in Colonial Latin America,Capitulo,18,Literary Culture during the Peruvian Viceroyalty,Luis Millones,1,133,Andes,Cultura letrada colonial,Colonial,Andes,Hispanoamerica,Subregional,"Colonial, barroco e Ilustracion",Critica e historia literaria,No,Ninguno,Caso de estudio,Colonial,2,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,5,Access and Participation in the Literary Cultures of Latin America,Capitulo,19,Social History of the Latin American Writer,Mario J. Valdés,1,155,Pan-latinoamericana,Autoria/Campo literario,Multiple,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Autoria, lectura y publico",Critica e historia literaria,No,Ninguno,Panoramico / sintesis,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,5,Access and Participation in the Literary Cultures of Latin America,Capitulo,20,Reading as a Historical Practice in Latin America: The First Colonial Period to the Nineteenth Century,Juan Poblete,1,178,Pan-latinoamericana,Lectura/Publico,Colonial/s.XIX,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Autoria, lectura y publico",Critica e historia literaria,No,Ninguno,Caso de estudio,Colonial,2,Individual,Espanol (prob.)
1,Configurations of Literary Culture,1,Parameters of Literary Culture,5,Access and Participation in the Literary Cultures of Latin America,Capitulo,21,Literary Nationalism in Latin America,Leyla Perrone-Moisés,1,193,Pan-latinoamericana,Nacionalismo/Identidad,s.XIX-XX,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Nacion, modernidad y transculturacion",Critica e historia literaria,No,Ninguno,Caso de estudio,Siglos XIX-XX,3.5,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,,,Introduccion,,Introduction,Cynthia Steele; Heloísa Buarque de Hollanda; Marlyse Meyer; Beatriz Resende,4,201,Pan-latinoamericana,Alteridad/Margenes,N/A,Pan-latinoamericano,Transversal,Pan-latinoamericano,Otros / mixto,Critica e historia literaria,No,Ninguno,Panoramico / sintesis,N/A,,Colectivo (4+),Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,1,"Configurations of Socioeconomic, Racial, and Ethnic Alterity in Literary History",Capitulo,22,Poverty in the History of Literary Cultures,Kathleen Newman,1,209,Pan-latinoamericana,Clase/Pobreza,Multiple,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Otras alteridades (judia, clase)",Critica e historia literaria,Si,Socioeconomico,Panoramico / sintesis,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,1,"Configurations of Socioeconomic, Racial, and Ethnic Alterity in Literary History",Capitulo,23,"First Nations, First Writers: Indigenous Mexican Literary History",Cynthia Steele,1,212,Mexico,Indigena,Multiple,Mexico,Hispanoamerica,Nacional,Mundo indigena,Critica e historia literaria,Si,Etnico-racial (indigena),Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,1,"Configurations of Socioeconomic, Racial, and Ethnic Alterity in Literary History",Capitulo,24,Recent Mayan Incursions into Guatemalan Literary Historiography,Gail Ament,1,216,Centroamerica,Indigena,Contemporaneo,Centroamerica,Hispanoamerica,Subregional,Mundo indigena,Critica e historia literaria,Si,Etnico-racial (indigena),Caso de estudio,Siglo XX,4,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,1,"Configurations of Socioeconomic, Racial, and Ethnic Alterity in Literary History",Capitulo,25,Andean Indigenous Expression: Resisting Marginality,Regina Harrison,1,224,Andes,Indigena,Multiple,Andes,Hispanoamerica,Subregional,Mundo indigena,Critica e historia literaria,Si,Etnico-racial (indigena),Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,1,"Configurations of Socioeconomic, Racial, and Ethnic Alterity in Literary History",Capitulo,26,Brazil's Indigenous Textualities,Claudia Neiva de Matos,1,231,Brasil,Indigena,Multiple,Brasil,Brasil,Nacional,Mundo indigena,Critica e historia literaria,Si,Etnico-racial (indigena),Caso de estudio,Transversal,,Individual,Portugues (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,1,"Configurations of Socioeconomic, Racial, and Ethnic Alterity in Literary History",Capitulo,27,Afro-Hispanic Writers in Latin American Literary History,Rosemary Geisdorfer Feal,1,240,Pan-latinoamericana,Afrodescendiente,Multiple,Pan-latinoamericano,Transversal,Pan-latinoamericano,Afrodescendencia,Critica e historia literaria,Si,Etnico-racial (afro),Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,1,"Configurations of Socioeconomic, Racial, and Ethnic Alterity in Literary History",Capitulo,28,Black Presence in Brazilian Literature: From the Colonial Period to the Twentieth Century,Heloísa Toller Gomes; Gizelda Melo do Nascimento; Leda Maria Martins,3,246,Brasil,Afrodescendiente,Colonial/s.XX,Brasil,Brasil,Nacional,Afrodescendencia,Critica e historia literaria,Si,Etnico-racial (afro),Caso de estudio,Otros,,Coautoria (2-3),Portugues (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,1,"Configurations of Socioeconomic, Racial, and Ethnic Alterity in Literary History",Capitulo,29,Jewish Literary Culture in Spanish America,Saúl Sosnowski,1,264,Hispanoamerica,Judia,Multiple,Hispanoamerica (transnac.),Hispanoamerica,Pan-latinoamericano,"Otras alteridades (judia, clase)",Critica e historia literaria,Si,Etnico-religioso (judia),Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,1,"Configurations of Socioeconomic, Racial, and Ethnic Alterity in Literary History",Capitulo,30,Displacement and Disregard: Brazilian-Jewish Writing and the Search for Narrative Identity,Nelson H. Vieira,1,273,Brasil,Judia,s.XX,Brasil,Brasil,Nacional,"Otras alteridades (judia, clase)",Critica e historia literaria,Si,Etnico-religioso (judia),Caso de estudio,Siglo XX,4,Individual,Portugues (prob.)
